question,ground_truth,generated_answer,context,retrieved_indices,f1_per_question
Was Abraham Lincoln the sixteenth President of the United States?,yes,yes,"Passage 1: Young Abraham Lincoln

Passage 2: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination. As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232.  Writing of the Cooper Union  speech, Holzer notes, ""Cooper Union proved a unique confluence of political culture, rhetorical opportunity, technological innovation, and human genius, and it brought Abraham Lincoln to the center stage of American politics at precisely the right time and place, and with precisely the right message: that slavery was wrong, and ought to be confined to the areas where it already existed, and placed on the 'course of ultimate extinction... .'""  Lincoln won the Republican Party nomination in 1860 and was elected president later that year. During his term, he helped preserve the United States by leading the defeat of the secessionist Confederate States of America in the American Civil War. He introduced measures that resulted in the abolition of slavery, issuing his Emancipation Proclamation in 1863 and promoting the passage of the Thirteenth Amendment to the Constitution in 1865.

Passage 3: Sixteen months before his death, his son, John Quincy Adams, became the sixth President of the United States (1825 1829), the only son of a former President to hold the office until George W. Bush in 2001.","[288, 278, 697]",1.0
Did Lincoln sign the National Banking Act of 1863?,yes,Yes,"Passage 1: Lincoln believed in the Whig theory of the presidency, which left Congress to write the laws while he signed them, vetoing only those bills that threatened his war powers. Thus, he signed the Homestead Act in 1862, making millions of acres of government-held land in the West available for purchase at very low cost. The Morrill Land-Grant Colleges Act, also signed in 1862, provided government grants for agricultural universities in each state. The Pacific Railway Acts of 1862 and 1864 granted federal support for the construction of the United States' First Transcontinental Railroad, which was completed in 1869. Other important legislation involved economic matters, including the first income tax and higher tariffs. Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system.  Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.

Passage 2: * Vetoed Volstead Act in 1919. It was passed over his veto.

Passage 3: Lincoln met with his cabinet for the first reading of the Emancipation Proclamation draft on July 22, 1862. L-R: Edwin M. Stanton, Salmon P. Chase, Abraham Lincoln, Gideon Welles, Caleb B. Smith, William H. Seward, Montgomery Blair and Edward Bates","[360, 2205, 329]",1.0
Did his mother die of pneumonia?,no,No,"Passage 1: An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain. Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103.  The headaches which afflicted Pascal are generally attributed to his brain lesion.

Passage 2: Alice Hathaway Lee Roosevelt (July 29, 1861 in Chestnut Hill, Massachusetts â February 14 1884 in Manhattan, New York) was the first wife of Theodore Roosevelt and mother of their only child together, Alice Lee Roosevelt.  Alice Roosevelt died of an undiagnosed case of Bright's Disease two days after Alice Lee was born.  Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884.  After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory.

Passage 3: He died at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke.  His last words were alleged to be, upon being fed some soup, ""the nourishment is palatable.""  On January 7 each year, a ceremony is held at his grave site in the Forest Lawn Cemetery in Buffalo.","[262, 2893, 187]",1.0
How many long was Lincoln's formal education?,18 months,18 months,"Passage 1: Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme. Lincoln avoided hunting and fishing because he did not like killing animals, even for food. Though he was unusually tall at  , 4 inches and strong, Lincoln spent so much time reading that some neighbors suspected he must be doing it to avoid strenuous manual labor.

Passage 2: * American School, Lincoln's economic views.

Passage 3: Young Abraham Lincoln","[287, 390, 288]",1.0
When did Lincoln begin his political career?,1832,1832,"Passage 1: Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates.  The centerpiece of his platform was the undertaking of navigational improvements on the Sangamon River. He believed that this would attract steamboat traffic, which would allow the sparsely populated, poorer areas along the river to flourish.

Passage 2: Young Abraham Lincoln

Passage 3: He became involved in Democratic politics at 19 when he worked for the presidential campaign of James Buchanan. Following Buchanan's single term, the next Democrat elected president would be Cleveland himself, almost thirty years later.  During the American Civil War, Cleveland hired a replacement to avoid Lincoln's draft order of 1863.","[289, 288, 477]",1.0
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",United States Note,"Passage 1: The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war.

Passage 2: The Panic of 1873 hit the country hard during his presidency, and he never attempted decisive action, one way or the other, to alleviate distress. The first law that he signed, in March 1869, established the value of the greenback currency issued during the Civil War, pledging to redeem the bills in gold. In 1874, he vetoed a bill to increase the amount of a legal tender currency, which defused the currency crisis on Wall Street but did little to help the economy as a whole. The depression led to Democratic victories in the 1874 off-year elections, as that party took control of the House for the first time since 1856.

Passage 3: Lincoln believed in the Whig theory of the presidency, which left Congress to write the laws while he signed them, vetoing only those bills that threatened his war powers. Thus, he signed the Homestead Act in 1862, making millions of acres of government-held land in the West available for purchase at very low cost. The Morrill Land-Grant Colleges Act, also signed in 1862, provided government grants for agricultural universities in each state. The Pacific Railway Acts of 1862 and 1864 granted federal support for the construction of the United States' First Transcontinental Railroad, which was completed in 1869. Other important legislation involved economic matters, including the first income tax and higher tariffs. Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system.  Congress created and Lincoln approved the Department of Agriculture in 1862, although that institution would not become a Cabinet-level department until 1889.","[361, 1816, 360]",0.26666666666666666
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,Grace Bedell,"Passage 1: While Lincoln is usually portrayed bearded, he first grew a beard in 1860 at the suggestion of 11-year-old Grace Bedell

Passage 2: Abraham Lincoln's official White House portrait

Passage 3: Young Abraham Lincoln","[382, 373, 288]",0.8
When did the Gettysburg address argue that America was born?,1776,1776,"Passage 1: In his Gettysburg Address Lincoln redefined the American nation, arguing that it was born not in 1789 but in 1776, ""conceived in Liberty, and dedicated to the proposition that all men are created equal."" He declared that the sacrifices of battle had rededicated the nation to the propositions of democracy and equality, ""that this nation shall have a new birth of freedom â and that government of the people, by the people, for the people, shall not perish from the earth."" By emphasizing the centrality of the nation, he rebuffed the claims of state sovereignty. While some critics say Lincoln moved too far and too fast,  H.L. Mencken said ""It is difficult to imagine anything more untrue. The Union soldiers in the battle actually fought against self-determination; it was the Confederates who fought for the right of their people to govern themselves."" Mencken did not mention the right of self-determination rights for blacks.   they agree that he dedicated the nation to values that marked ""a new founding of the nation.""  Wills (1992) p. 39.

Passage 2: Lincoln's powerful rhetoric defined the issues of the war for the nation, the world, and posterity. His extraordinary command of the English language was evidenced in the Gettysburg Address, a speech dedicating the cemetery at Gettysburg that he delivered on November 19, 1863. The speech defied Lincoln's own prediction that ""the world will little note, nor long remember what we say here."" Lincoln's second inaugural address is also greatly admired and often quoted. In these speeches, Lincoln articulated better than anyone else the rationale behind the Union cause.

Passage 3: Quotation from Woodrow Wilson's History of the American People as reproduced in the film The Birth of a Nation.","[358, 355, 2212]",1.0
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,Abraham Lincoln and the Question of Individual Responsibility,"Passage 1: On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party. He was the first Republican president, winning entirely on the strength of his support in the North: he was not even on the ballot in nine states in the South, and won only 2 of 996 counties in the other Southern states. Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes. There were fusion tickets in some states, but even if his opponents had combined in every state, Lincoln had a majority vote in all but two of the states in which he won the electoral votes and would still have won the electoral college and the election.

Passage 2: Entering the presidential nomination process as a distinct underdog, Lincoln was eventually chosen as the Republican candidate for the 1860 election for several reasons. His expressed views on slavery were seen as more moderate than those of rivals William H. Seward and Salmon P. Chase. His ""Western"" origins also appealed to the newer states: other contenders, especially those with more governmental experience, had acquired enemies within the party and were weak in the critical western states, while Lincoln was perceived as a moderate who could win the West. Most Republicans agreed with Lincoln that the North was the aggrieved party as the Slave Power tightened its grasp on the national government. Yet despite his Southern connections (his in-laws owned slaves), Lincoln misunderstood the depth of the revolution underway in the South and the emergence of Southern nationalism. Throughout the 1850s he denied that there would ever be a civil war, and his supporters repeatedly rejected claims that his election would incite secession.  Gabor S. Boritt, ""'And the War Came'? Abraham Lincoln and the Question of Individual Responsibility,"" Why the Civil War Came ed by Boritt (1996), pp 3-30.

Passage 3: The 1858 campaign featured the Lincoln-Douglas debates, a nationally famous contest on slavery. Lincoln warned that the ""Slave Power"" was threatening the values of republicanism, while Douglas emphasized the supremacy of democracy, as set forth in his Freeport Doctrine, which said that local settlers should be free to choose whether to allow slavery or not. Though the Republican legislative candidates won more popular votes, the Democrats won more seats, and the legislature reelected Douglas to the Senate. Nevertheless, Lincoln's eloquence transformed him into a national political star.","[319, 317, 312]",0.0
Was Abraham Lincoln the first President of the United States?,No,was the sixteenth,"Passage 1: Young Abraham Lincoln

Passage 2: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination. As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232.  Writing of the Cooper Union  speech, Holzer notes, ""Cooper Union proved a unique confluence of political culture, rhetorical opportunity, technological innovation, and human genius, and it brought Abraham Lincoln to the center stage of American politics at precisely the right time and place, and with precisely the right message: that slavery was wrong, and ought to be confined to the areas where it already existed, and placed on the 'course of ultimate extinction... .'""  Lincoln won the Republican Party nomination in 1860 and was elected president later that year. During his term, he helped preserve the United States by leading the defeat of the secessionist Confederate States of America in the American Civil War. He introduced measures that resulted in the abolition of slavery, issuing his Emancipation Proclamation in 1863 and promoting the passage of the Thirteenth Amendment to the Constitution in 1865.

Passage 3: John Adams, Jr. (October 30,1735   July 4, 1826)  was the second President of the United States (1797 1801). He also served as America's first Vice President (1789 1797). He was defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson. Adams was also the first President to reside in the newly built White House in Washington, D.C., which was completed in 1800.","[288, 278, 635]",0.0
